,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,C3,C3_NM,C3_NM_ENG,C3_OBJ_NM,C3_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
18,01,아파트,Apartments,주택유형,Region,a11,대전,Daejeon,지역,Region,04,연령4,Age4,건축연령,Region,101.1808409,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
19,01,아파트,Apartments,주택유형,Region,a11,대전,Daejeon,지역,Region,05,연령5,Age5,건축연령,Region,103.5430041,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
20,01,아파트,Apartments,주택유형,Region,a12,울산,Ulsan,지역,Region,01,연령1,Age1,건축연령,Region,92.10789537,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
21,01,아파트,Apartments,주택유형,Region,a12,울산,Ulsan,지역,Region,02,연령2,Age2,건축연령,Region,91.12606804,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
22,01,아파트,Apartments,주택유형,Region,a12,울산,Ulsan,지역,Region,03,연령3,Age3,건축연령,Region,90.19184677,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
23,01,아파트,Apartments,주택유형,Region,a12,울산,Ulsan,지역,Region,04,연령4,Age4,건축연령,Region,87.96209885,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
24,01,아파트,Apartments,주택유형,Region,a12,울산,Ulsan,지역,Region,05,연령5,Age5,건축연령,Region,85.12850567,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
25,01,아파트,Apartments,주택유형,Region,a13,세종,Sejong,지역,Region,01,연령1,Age1,건축연령,Region,100.9541299,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
26,01,아파트,Apartments,주택유형,Region,a13,세종,Sejong,지역,Region,02,연령2,Age2,건축연령,Region,102.3682548,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
27,01,아파트,Apartments,주택유형,Region,a13,세종,Sejong,지역,Region,03,연령3,Age3,건축연령,Region,97.17710383,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
